comuna;longitud;latitud
Algarrobo;-71.5993912699541;-33.3294443939521
Alhué;-71.0564402283356;-34.0427268389157
Alto Biobío;-71.3474459582898;-37.8653975869179
Alto del Carmen;-70.1530226365598;-28.9929468799823
Alto Hospicio;-70.0109649557567;-20.1899405783510
Ancud;-73.8018678002365;-42.0173667255550
Andacollo;-71.1006371921363;-30.2594278332612
Angol;-72.7957133661631;-37.7687159281174
Antofagasta;-69.4115788449490;-24.2747824755198
Antuco;-71.3670482152716;-37.3274487946032
Arauco;-73.3998096503374;-37.2885933390245
Arica;-69.9744524126975;-18.5375345977464
Aysén;-73.7592816819727;-45.9794990750079
Buin;-70.7389462176248;-33.7480593649953
Bulnes;-72.2900249399127;-36.7904057303010
Cabildo;-70.8235322857271;-32.4173554816026
Cabo de Hornos;-69.2809321518499;-55.0286173401844
Cabrero;-72.3813593732122;-37.0619391998226
Calama;-68.6297316554502;-22.1621555145211
Calbuco;-73.1947769166782;-41.7228188170885
Caldera;-70.6821391343406;-27.1411178630438
Calera;-71.1568937180900;-32.7939208706691
Calera de Tango;-70.7902334441120;-33.6232519276806
Calle Larga;-70.5446601647758;-32.9507694552549
Camarones;-69.6985264453947;-18.9299314622550
Camiña;-69.5053424316445;-19.3734469990210
Canela;-71.3943861185760;-31.4018346461710
Cañete;-73.3173008707997;-37.8736666354251
Carahue;-73.2695581813959;-38.6112087321541
Cartagena;-71.4422066919395;-33.5338215713324
Casablanca;-71.4349744217737;-33.3156647278317
Castro;-73.8046190699458;-42.4737961045766
Catemu;-70.9446487912181;-32.7073563966184
Cauquenes;-72.2804944931403;-35.9712397710616
Cerrillos;-70.7125435010026;-33.4997689524435
Cerro Navia;-70.7445886472670;-33.4224789084748
Chaitén;-72.5753563973305;-43.0930688098976
Chanco;-72.4850248284124;-35.6989426887240
Chañaral;-70.3379783779751;-26.3725332285914
Chépica;-71.3593780947710;-34.7912346178865
Chiguayante;-73.0051867208089;-36.9007816157083
Chile Chico;-72.6047757968323;-46.7801821272195
Chillán;-72.1287210192287;-36.6174889493851
Chillán Viejo;-72.1988056564337;-36.6803515633837
Chimbarongo;-70.9809061028811;-34.7517254712055
Cholchol;-72.9023889212657;-38.5834377432276
Chonchi;-73.9306307632159;-42.6817922688395
Cisnes;-73.1386960119397;-44.4585029055163
Cobquecura;-72.7205972840541;-36.1808782773823
Cochamó;-72.0926184837361;-41.7596900491802
Cochrane;-72.7503740587066;-47.3620658766856
Codegua;-70.5471516630627;-34.0570737935559
Coelemu;-72.7504198420792;-36.5049782320666
Coihueco;-71.5817384271525;-36.7019214107654
Coinco;-70.9711143513703;-34.2822829243228
Colbún;-70.9794165272205;-36.0767713449884
Colchane;-68.8472378149590;-19.3531089060456
Colina;-70.6160969529145;-33.1348963609901
Collipulli;-72.1247814312009;-38.0264433257350
Coltauco;-71.0774740493417;-34.2596524285811
Combarbalá;-70.9657372398259;-31.1464544509477
Concepción;-72.9508323791154;-36.8343012414005
Conchalí;-70.6769078808033;-33.3837232152827
Concón;-71.4677536412731;-32.9532909638002
Constitución;-72.2758011538870;-35.3630336970413
Contulmo;-73.2119616998210;-38.0524593155781
Copiapó;-69.8251125370947;-27.3204715521115
Coquimbo;-71.3589854114878;-30.2274158605168
Coronel;-73.1255881202467;-37.0072101300873
Corral;-73.3721656422716;-39.9890458870364
Coyhaique;-71.9879305981477;-45.5509309944009
Cunco;-71.9922965785913;-38.9772517427632
Curacautín;-71.7720750983442;-38.4271521531978
Curacaví;-71.0801336091405;-33.3664910175440
Curaco de Vélez;-73.5786812717671;-42.4265420480768
Curanilahue;-73.2356502851394;-37.4829003042780
Curarrehue;-71.5395521639002;-39.3365341803157
Curepto;-71.9530263310295;-35.1297657415113
Curicó;-70.8962566519807;-35.1991197011871
Dalcahue;-73.8332561886284;-42.3088763787889
Diego de Almagro;-69.1860601505420;-26.2367756314077
Doñihue;-70.9233802246993;-34.1966528395015
El Bosque;-70.6763564475418;-33.5628945934494
El Carmen;-71.8471081544041;-36.9251117075737
El Monte;-71.0335390285398;-33.6678761097595
El Quisco;-71.6513220346964;-33.4151250755637
El Tabo;-71.5810822148058;-33.4828667075183
Empedrado;-72.2843823169721;-35.6135192145875
Ercilla;-72.3531426212021;-38.0828403789468
Estación Central;-70.7009921156046;-33.4644598871240
Florida;-72.7177947158251;-36.8223049333950
Freire;-72.5763050147967;-38.9495294790659
Freirina;-71.1950173788641;-28.8434961557581
Fresia;-73.6067188735004;-41.1545493769269
Frutillar;-73.0959188675046;-41.0873907614982
Futaleufú;-72.0073713659767;-43.1803575027333
Futrono;-72.1157378900620;-40.1186512623015
Galvarino;-72.7917229779862;-38.4482188282751
General Lagos;-69.5747602240261;-17.8285168304111
Gorbea;-72.6696141376364;-39.1719502320425
Graneros;-70.7470558001722;-34.0656390120848
Guaitecas;-73.8129619044691;-43.9464332993096
Hijuelas;-71.0810734963790;-32.8693334378988
Hualaihué;-72.3772456655874;-42.1765802284279
Hualañé;-71.7088246157658;-34.9526362493746
Hualpén;-73.1411885804825;-36.7887900111051
Hualqui;-72.8710371042690;-37.0447714880015
Huara;-69.6677176202603;-19.5901124717140
Huasco;-71.0172182228253;-28.2576250278947
Huechuraba;-70.6382116631045;-33.3603865384367
Illapel;-70.9700932856083;-31.5493685347198
Independencia;-70.6652902307181;-33.4148665048931
Iquique;-70.0415308191061;-20.9396288061196
Isla de Maipo;-70.9459063253943;-33.7487210600867
Isla de Pascua;-109.3393796869600;-27.1302056563010
Juan Fernández;-78.8470558827685;-33.6507308697228
La Cisterna;-70.6641524709200;-33.5303506835721
La Cruz;-71.2403540843832;-32.8253970359710
La Estrella;-71.6025477440580;-34.2231105157872
La Florida;-70.5399840510137;-33.5284221030432
La Granja;-70.6227625328623;-33.5356526452177
La Higuera;-70.9025646417323;-29.3747765854203
La Ligua;-71.2717023447959;-32.3535886474276
La Pintana;-70.6372474065746;-33.5876407825862
La Reina;-70.5369025513309;-33.4472948751292
La Serena;-71.0608185954879;-29.7891129423117
La Unión;-73.2223252340048;-40.2017912641379
Lago Ranco;-72.1659786896375;-40.3727655563082
Lago Verde;-71.8332139182682;-44.4924376699523
Laguna Blanca;-71.2402227412713;-52.3280446333168
Laja;-72.5825296645284;-37.3126140745683
Lampa;-70.8751544403293;-33.2781078386396
Lanco;-72.6215175267549;-39.5121841882324
Las Cabras;-71.3327731291635;-34.1647009119150
